BusinessName,Rating,NumberOfReviews,Category,Address,Phone,Close,Website,GoogleReviewsLink,Industry,Location
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Atlanta Expert Roofing Solutions,5.0,(66),Roofing contractor,N/A,·(404) 382-7707,Open⋅ Closes 7 PM,N/A,https://www.google.com/maps/place/Atlanta+Expert+Roofing+Solutions/data=!4m7!3m6!1s0x88f5037f883b5baf:0xb3c286c605397dbc!8m2!3d33.80156!4d-84.2575613!16s%2Fg%2F11qy83sbqk!19sChIJr1s7iH8D9YgRvH05BcaGwrM?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Vargas & Sons Roof Repair,4.7,(44),Roofing contractor,N/A,·(470) 837-7700,Open 24 hours,N/A,https://www.google.com/maps/place/Vargas+%26+Sons+Roof+Repair/data=!4m7!3m6!1s0x88f5a95202543cc7:0xf88a2a2fbbd9a922!8m2!3d33.7979866!4d-84.2537999!16s%2Fg%2F11y4b0t8kp!19sChIJxzxUAlKp9YgRIqnZuy8qivg?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
DeKalb Roofing Company,3.9,(31),Roofing contractor,N/A,·(404) 288-5728,Open⋅ Closes 4 PM,N/A,https://www.google.com/maps/place/DeKalb+Roofing+Company/data=!4m7!3m6!1s0x88f5a988a772d741:0xab45cd205a58c055!8m2!3d33.7551813!4d-84.2376531!16s%2Fg%2F1vcl4lzw!19sChIJQddyp4ip9YgRVcBYWiDNRas?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Rivera Brothers Roofing & Construction,4.8,(37),Roofing contractor,N/A,·(470) 400-0049,Open 24 hours,N/A,https://www.google.com/maps/place/Rivera+Brothers+Roofing+%26+Construction/data=!4m7!3m6!1s0x88f5076cf4763d49:0xbda1c5a9435a583d!8m2!3d33.7990254!4d-84.2796146!16s%2Fg%2F11y4l8rqqh!19sChIJST129GwH9YgRPVhaQ6nFob0?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Intown Roofing,4.8,(16),Roofing contractor,N/A,·(404) 858-1008,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Intown+Roofing/data=!4m7!3m6!1s0x88f50799283bb9d5:0x3989e82250b67995!8m2!3d33.7936519!4d-84.2921656!16s%2Fg%2F11hbph77r8!19sChIJ1bk7KJkH9YgRlXm2UCLoiTk?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
"GR Roofing Atlanta, LLC",5.0,(30),Roofing contractor,N/A,·(678) 237-5675,Open⋅ Closes 9:30 PM,N/A,"https://www.google.com/maps/place/GR+Roofing+Atlanta,+LLC/data=!4m7!3m6!1s0x88f5a97ccd1a79ff:0xa29cf587145d12f!8m2!3d33.831351!4d-84.26565!16s%2Fg%2F11mhnd4_kt!19sChIJ_3kazXyp9YgRL9FFcVjPKQo?authuser=0&hl=en&rclk=1",Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Verde's Contractors,5.0,(30),Roofing contractor,N/A,·(404) 884-8191,Open⋅ Closes 6 PM,N/A,https://www.google.com/maps/place/Verde%27s+Contractors/data=!4m7!3m6!1s0x4a4ddf8cf9666d1b:0x31a430858ef51db3!8m2!3d33.7758807!4d-84.2952216!16s%2Fg%2F11t_rsd19r!19sChIJG21m-YzfTUoRsx31joUwpDE?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Rapid Roofers,4.6,(21),Roofing contractor,N/A,·(770) 786-2056,Open 24 hours,N/A,https://www.google.com/maps/place/Rapid+Roofers/data=!4m7!3m6!1s0x88f500c99935ad9b:0x65d2ea7491e7984b!8m2!3d33.747436!4d-84.293366!16s%2Fg%2F11csb0kw83!19sChIJm601mckA9YgRS5jnkXTq0mU?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
Bell Roofing,4.8,(453),Roofing contractor,N/A,·(404) 874-7663,Open⋅ Closes 5 PM,N/A,https://www.google.com/maps/place/Bell+Roofing/data=!4m7!3m6!1s0x88f5045300000001:0xf10857e44ba05c29!8m2!3d33.8265284!4d-84.3304983!16s%2Fg%2F1tcx2c5b!19sChIJAQAAAFME9YgRKVygS-RXCPE?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
GA Prime Roofing,5.0,(12),Construction company,N/A,·(470) 755-6281,Open 24 hours,N/A,https://www.google.com/maps/place/GA+Prime+Roofing/data=!4m7!3m6!1s0xa734ae8c62e6d79f:0x5ad88ed8484163e!8m2!3d38.6181289!4d-86.542154!16s%2Fg%2F11y4q8m9vj!19sChIJn9fmYoyuNKcRPhaEhO2IrQU?authuser=0&hl=en&rclk=1,Roofing,30002
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roofing,30002
